node;clustering_coeffs;name_metrics;name_dataset;followers;popularity;genres;chart_hits
066y53j1f6CFDQ8zMae8Xl;1.0;Ysha;Ysha;43.0;26.0;[];
069qBEK34YGoX7nSIT74Eg;1.0;Lil Flash;Lil Flash;20556.0;26.0;['chicago rap', 'drill'];
06ArYqAbmoKAgWvJDZeipI;1.0;Taito;Taito;5588.0;30.0;['klubowe'];
06CXCogBen86umuvgqPkRA;1.0;Dosdela;Dosdela;324.0;28.0;[];
06IVFUBOF4E95O77erZKob;1.0;Akash Mishra;Akash Mishra;12.0;1.0;[];
06IdTc1zWKRJsZaIyTPPqQ;1.0;Get Looze;Get Looze;233.0;6.0;[];
06K0yG9NWhfmfnvPuNZPUY;1.0;Bandana Sharma;Bandana Sharma;7472.0;6.0;[];
06KOetaeFEz0gabCnqvCxz;1.0;Miu Chu;Miu Chu;43014.0;39.0;['mandopop', 'taiwan pop'];['tw (9)']
06KW64mW1lFahvaJVV0TRe;1.0;Mc Mayara;Mc Mayara;22197.0;40.0;[];
06VibSJEr3GLxLBBZhRums;1.0;Dion Timmer;Dion Timmer;100490.0;50.0;['brostep', 'deathstep', 'dubstep', 'edm', 'electro house', 'electronic trap', 'gaming dubstep', 'gaming edm', 'melodic dubstep'];
06dEgxjqOZMob2UvntpidG;1.0;Mashup-Germany;Mashup-Germany;23943.0;35.0;[];
06owcfrckO11MEnGJaq8SN;1.0;Jaysus;Jaysus;3162.0;15.0;['german cloud rap'];
06zC1Z0YDLeWPBLIEAkswh;1.0;Medellin;Medellin;2580.0;60.0;[];
072QZuLtCqlAesYnOGY7lN;1.0;Tiny Meat Gang;Tiny Meat Gang;386222.0;52.0;['meme rap'];
072YnMT5EniZhvDssXL2VB;1.0;m-flo loves Sik-K & eill & 向井太一;m-flo loves Sik-K & eill & 向井太一;815.0;24.0;[];
07EcmJpfAday8xGkslfanE;1.0;Kevin Abstract;Kevin Abstract;675518.0;59.0;['afrofuturism', 'lgbtq+ hip hop', 'rap'];
07KnR00fN51QEaiiSKPMWt;1.0;Juventino Rosas;Juventino Rosas;2195.0;27.0;['late romantic era', 'latin classical', 'mexican classical'];
07LzWsWkg72pgYLzSi33jg;1.0;Er1ck;Er1ck;37.0;12.0;[];
07PBcCn8pv3lvRk96JF1CD;1.0;Frédéric Lerner;Frédéric Lerner;1700.0;22.0;[];
07Pk5UiWXvlAe4WkbBKYaD;1.0;Nachonik;Nachonik;5.0;21.0;[];
07YgquyRJ9CmXQQ3WNe98N;1.0;Millenary;Millenary;48.0;7.0;[];
07cDE2sVdT1QawiHw6wst7;1.0;MC Ryan;MC Ryan;1845.0;20.0;[];
07dLDdQaGtCzRksu1phXbG;1.0;Sounds of Isha;Sounds of Isha;66597.0;46.0;['sound'];
07hxgbJZYHTMREWXAHH3Nc;1.0;Rafaga De Colombia;Rafaga De Colombia;14.0;17.0;[];
07pZelCNTBK93CD474588Q;1.0;Craig Ogden;Craig Ogden;3900.0;34.0;['classical guitar'];
07pfRuQX86iRuYx3gPCtXD;1.0;T. L. Maharajan;T. L. Maharajan;51318.0;40.0;['classic kollywood', 'filmi'];
07qXCavgZGcwnfNHSvSPtG;1.0;João Lucas & Marcelo;João Lucas & Marcelo;247553.0;41.0;['sertanejo', 'sertanejo pop', 'sertanejo universitario'];
07rc8cAXzRZkFwA8ig6JGG;1.0;Julie Thompson;Julie Thompson;3310.0;35.0;['vocal trance'];
07tWWZJkDC3rozDoQyMkof;1.0;Muy Coló;Muy Coló;299.0;10.0;[];
07uGvYm9gBKxkXpjfopJZB;1.0;Bonde do Véi;Bonde do Véi;4364.0;26.0;[];
07uP31efUtxj4xfgWYitcY;1.0;Mc Galaxia;Mc Galaxia;61.0;24.0;[];
07w01Ov7VBDqzdWvIot26S;1.0;Nela;Nela;10.0;13.0;[];
07yQMXhb3LvQap2wcH6h3k;1.0;Sinista;Sinista;43.0;19.0;[];
