node;eigenvector;pagerank;closeness;degree;clustering_coeffs
3OBkZ9NG8F0Fn4oNpg0yuU;0.009166579420678283;0.002058305248739221;0.10526623360645654;0.004576659038901602;0.0
250b0Wlc5Vk0CoUsaCY84M;0.04760589768670564;0.0025557892209016582;0.11220354986132332;0.006864988558352403;0.6666666666666666
4XDi67ZENZcbfKnvMnTYsI;0.23974803024275196;0.009942865157551526;0.156950055717843;0.032036613272311214;0.14285714285714285
2eRjqXdTsssjpimRlz1i41;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
4gOc8TsQed9eqnqJct2c5v;6.343156267045342e-13;0.005152173126726742;0.004576659038901602;0.004576659038901602;0.0
3eVa5w3URK5duf6eyVDbu9;0.015813365465472202;0.001273711092081325;0.09863737758589883;0.002288329519450801;0.0
7jFUYMpMUBDL4JQtMZ5ilc;0.0630168432669705;0.003189018032903347;0.12797071536471186;0.009153318077803204;0.16666666666666666
5DuzBeOgFwViFcv00Q5PFb;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
4z6yrDz5GfKXkeQZjOaZdq;0.03331566497141204;0.003074629761380352;0.12218108861654237;0.006864988558352403;0.0
4Ly0KABsxlx4fNj63zJTrF;2.804282097836636e-20;0.0005310674455939684;0.0;0.0;0.0
3ytV7vc4ZuwGgwaOuWvkk8;0.1604399984350691;0.005489166905532399;0.13596888507500637;0.018306636155606407;0.21428571428571427
0XATRDCYuuGhk0oE7C0o5G;0.06043232224537932;0.006312405082790875;0.133194009869394;0.018306636155606407;0.14285714285714285
4U80LJd8sG6U9YTFP5izka;0.0053973207364710835;0.002808543423818964;0.09901147636308934;0.004576659038901602;0.0
2QeJBmgBdpH4i3uJns5Rdx;0.008783227457373597;0.0030818754086392943;0.09964132036031001;0.006864988558352403;0.3333333333333333
0kS1oLtVdBidgH2aKloRKR;0.0015724582166107615;0.0033066615782869095;0.08421298688516522;0.004576659038901602;0.0
5uM1Et50auro2hTS6ZLcmT;0.008236647127794402;0.002206696247388658;0.10641043179783106;0.004576659038901602;0.0
