graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_real_100_156422_2_0.85_17366060444403334_14;156422;312840;1;0.6320531920702711;0.02879776829726232;0.0287;0.7010416868290337;0.0002965935918113989
rand_random_real_100_156422_2_0.85_17366060494290009_15;156422;312840;1;0.6312820841039802;0.01657238052916991;0.0168;0.7031844421544141;0.0003753185386743856
rand_random_real_100_156422_2_0.85_1736606058289429_16;156422;312840;1;0.6313960569350848;0.038438365488338504;0.042;0.6989532003865001;0.0002661350376388637
rand_random_real_100_156422_2_0.85_1736606062536888_17;156422;312840;1;0.6294819585579455;0.029649327478119363;0.0307;0.7011470964867229;0.0002974906842058001
rand_random_real_100_156422_2_0.85_17366060674193792_18;156422;312840;1;0.6315285193396407;0.03430360775795446;0.0331;0.6585459382352775;0.0003235858081928271
rand_random_real_100_156422_2_0.85_17366060719220934_19;156422;312840;1;0.6309902115715942;0.025654206318916798;0.0239;0.7016099410826432;0.00029813107882257616
rand_random_real_100_156422_2_0.85_17366060772412128_20;156422;312840;1;0.6296459491487575;0.032272985694071527;0.0341;0.6976059522740277;0.00026908157855143637
rand_random_real_100_156422_2_0.85_17366060842942762_21;156422;312840;1;0.6312898207659776;0.03168776753453519;0.0314;0.5794788345263528;0.00034431684697200116
rand_random_real_100_156422_2_0.85_17366060889953547_22;156422;312840;1;0.6313829401674;0.031631663133637335;0.0297;0.7007762126675983;0.00028779435275310506
rand_random_real_100_156422_2_0.85_17366060936417005_23;156422;312840;1;0.6318248956932287;0.028406847420469953;0.0281;0.6931856386862144;0.0002992034986144658
rand_random_real_100_156422_2_0.85_17366060986487207_24;156422;312840;1;0.6316318074216757;0.030818330820571827;0.0318;0.6988282354231167;0.00028123682643833257
rand_random_real_100_156422_2_0.85_17366061034070632_25;156422;312840;1;0.630283559012526;0.02561380651236662;0.0266;0.7004710991702874;0.0003320087730736566
rand_random_real_100_156422_2_0.85_1736606111690314_26;156422;312840;1;0.6315485305714493;0.022873521308537936;0.0235;0.7020757664393161;0.00032858220967737323
rand_random_real_100_156422_2_0.85_17366061173191564_27;156422;312840;1;0.6321013351591009;0.02677389819922052;0.028;0.7016339461430585;0.00030528289034575424
rand_random_real_100_156422_2_0.85_17366061223597767_28;156422;312840;1;0.6314056284180158;0.038572297261867595;0.0402;0.6983776076234257;0.0002623109447607344
rand_random_real_100_156422_2_0.85_17366061265822933_29;156422;312840;1;0.6318220569014742;0.03692049198458781;0.0361;0.6918461127478372;0.0002589188400971612
