graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_pop_100_18147_3_0.11_17366059740176497_20;18147;54430;1;0.0616003314198589;0.013284178498415403;0.0155;0.5045295551274206;0.002683041024732816
rand_random_pop_100_18147_3_0.11_17366059742813783_21;18147;54431;1;0.06079007529296955;0.012163790694425039;0.011;0.5442577829799485;0.0024460733795920934
rand_random_pop_100_18147_3_0.11_17366059745482833_22;18147;54431;1;0.05907662696042868;0.013043579485706969;0.0116;0.396524495355743;0.0029792934901226274
rand_random_pop_100_18147_3_0.11_17366059748226557_23;18147;54430;1;0.05976196744951623;0.013403361180588344;0.0135;0.49920456911277183;0.002632246576221717
rand_random_pop_100_18147_3_0.11_1736605975468873_24;18147;54431;1;0.05841388577627362;0.011903817987120317;0.0101;0.42719692904050016;0.0026318549858021616
rand_random_pop_100_18147_3_0.11_17366059757424972_25;18147;54430;1;0.059331034124942235;0.012640945561791768;0.0139;0.3652271638938004;0.0030093718516006687
rand_random_pop_100_18147_3_0.11_17366059760259812_26;18147;54430;1;0.059940991965599585;0.01304813399785836;0.0157;0.4780354770930489;0.002702278839532758
rand_random_pop_100_18147_3_0.11_17366059763024473_27;18147;54431;1;0.05991435448996759;0.013115614264211933;0.0137;0.5286813891222177;0.0025592176077361087
rand_random_pop_100_18147_3_0.11_17366059765843885_28;18147;54432;1;0.05961332989854517;0.012457905224317486;0.0115;0.49107143018729543;0.0025758921289349966
rand_random_pop_100_18147_3_0.11_17366059768608098_29;18147;54430;1;0.0570952556299349;0.013008832142301174;0.0134;0.612361219314669;0.002298444747649662
rand_random_pop_100_18147_3_0.11_17366059771288147_30;18147;54429;1;0.05969832578918399;0.011954606992948508;0.0119;0.6378275794662445;0.002185280229311658
rand_random_pop_100_18147_3_0.11_17366059774055052_31;18147;54430;1;0.06103161537721985;0.01271635752622392;0.0119;0.38940197360515477;0.0028584347411502405
rand_random_pop_100_18147_3_0.11_17366059781667845_32;18147;54430;1;0.05840999714629634;0.012544120426535474;0.0124;0.434150164542678;0.0027647370338713126
rand_random_pop_100_18147_3_0.11_17366059784418466_33;18147;54428;1;0.05976395991324606;0.013375063947822468;0.0122;0.40749481183505465;0.002834572929319001
rand_random_pop_100_18147_3_0.11_17366059787182152_34;18147;54430;1;0.05888965337116556;0.013626473364965011;0.0127;0.4587263696850973;0.00279924469677149
rand_random_pop_100_18147_3_0.11_1736605978984919_35;18147;54432;1;0.059164552622266164;0.012611469143738516;0.0129;0.5351458364298646;0.0026017099216371882
rand_random_pop_100_18147_3_0.11_1736605979257164_36;18147;54431;1;0.06020528967774589;0.012273234215307892;0.0122;0.5089166145741435;0.0025092986537856594
rand_random_pop_100_18147_3_0.11_17366059795344746_37;18147;54431;1;0.05945197874877718;0.011523051073264335;0.0105;0.6449904653923627;0.002161144138135009
rand_random_pop_100_18147_3_0.11_17366059798152525_38;18147;54432;1;0.059428480628156;0.011451682197300781;0.0123;0.6377249650643014;0.0021483011758192294
rand_random_pop_100_18147_3_0.11_17366059801007874_39;18147;54430;1;0.06035028514905166;0.01160828998348138;0.0128;0.5852325700993117;0.002386981450377665
rand_random_pop_100_18147_3_0.11_1736605980382632_40;18147;54432;1;0.06024405541699461;0.013405985887506293;0.0128;0.44976057098164396;0.002771174514829964
rand_random_pop_100_18147_3_0.11_17366059812728448_41;18147;54430;1;0.06147986386783209;0.012854714739943084;0.0128;0.6078230870236493;0.0022998482878507764
rand_random_pop_100_18147_3_0.11_17366059815472198_42;18147;54427;1;0.05892552781804381;0.01242967515920684;0.0113;0.6327411243536072;0.0021584285320346546
rand_random_pop_100_18147_3_0.11_17366059818260875_43;18147;54431;1;0.059832416033686026;0.013545246983287884;0.0138;0.4071902295346807;0.0027947425271627555
rand_random_pop_100_18147_3_0.11_1736605982104835_44;18147;54428;1;0.05888417113161699;0.012754254477071802;0.0118;0.46640779021568296;0.002820142628396976
rand_random_pop_100_18147_3_0.11_17366059823825617_45;18147;54431;1;0.0585154551990223;0.013023003149183126;0.015;0.4788246035076143;0.0026914249974915113
rand_random_pop_100_18147_3_0.11_17366059826597826_46;18147;54431;1;0.05936047147441171;0.01387163581901594;0.0131;0.37376743292318493;0.0027596492123939933
rand_random_pop_100_18147_3_0.11_17366059829341815_47;18147;54431;1;0.059856125076145385;0.013911069676948645;0.0152;0.4921931841138773;0.002661589474708233
rand_random_pop_100_18147_3_0.11_1736605983208383_48;18147;54431;1;0.05883580609879696;0.01216861223833104;0.0124;0.5067157351929437;0.0025228916123409637
rand_random_pop_100_18147_3_0.11_17366059834768512_49;18147;54430;1;0.059747641246257005;0.012260604975836763;0.0134;0.5676018010842403;0.00244189442893287
rand_random_pop_100_18147_3_0.11_173660598375344_50;18147;54430;1;0.059517224774592856;0.012929958853946016;0.0122;0.3604169466551628;0.0029408483121181645
rand_random_pop_100_18147_3_0.11_17366059840254092_51;18147;54431;1;0.058953561955076735;0.01299484656828297;0.013;0.33300415434831154;0.0029669109571497034
rand_random_pop_100_18147_3_0.11_1736605984295883_52;18147;54430;1;0.05984401581062093;0.01279992750483537;0.0127;0.47679038957739384;0.0027732776476926757
rand_random_pop_100_18147_3_0.11_1736605985354044_53;18147;54431;1;0.061485524992215795;0.012341831983026042;0.0109;0.39638886527352335;0.0026551262018788715
rand_random_pop_100_18147_3_0.11_17366059856262734_54;18147;54431;1;0.05856433241683954;0.012628811552083265;0.0119;0.42485349224363744;0.002822875503294118
rand_random_pop_100_18147_3_0.11_17366059859017506_55;18147;54430;1;0.05918860666662946;0.012914232548659556;0.0128;0.6049929149070534;0.0023303461527750544
rand_random_pop_100_18147_3_0.11_17366059861704_56;18147;54432;1;0.059840521194937574;0.01359611888419923;0.0118;0.5478694059064824;0.002548602573615822
rand_random_pop_100_18147_3_0.11_1736605986444279_57;18147;54429;1;0.060126678973894995;0.012207662246913793;0.0121;0.48852940909898207;0.0025502516763393347
rand_random_pop_100_18147_3_0.11_1736605986716764_58;18147;54431;1;0.061357599009244534;0.012605541467350585;0.0112;0.589988791368755;0.0023460568852980775
rand_random_pop_100_18147_3_0.11_17366059869847682_59;18147;54432;1;0.05856266562556528;0.012689348434645106;0.0133;0.5854023646972621;0.002311576788294316
rand_random_pop_100_18147_3_0.11_17366059872540112_60;18147;54427;1;0.059417626300379944;0.012511138338159946;0.0146;0.351364987734602;0.0028739834807770936
rand_random_pop_100_18147_3_0.11_17366059875248454_61;18147;54431;1;0.06144590628022839;0.011447723690801503;0.0128;0.4936427947263403;0.002628937909325482
rand_random_pop_100_18147_3_0.11_1736605987801191_62;18147;54430;1;0.05890654120654703;0.012234298723758237;0.0127;0.3792947059252899;0.0027980295576997007
rand_random_pop_100_18147_3_0.11_17366059880692406_63;18147;54428;1;0.058224990490316195;0.01263296743111735;0.0138;0.5050652882307717;0.002714978235563
rand_random_pop_100_18147_3_0.11_17366059883430333_64;18147;54431;1;0.05961986004312203;0.013278463757157705;0.0134;0.5019550952401017;0.0027454717432949787
rand_random_pop_100_18147_3_0.11_17366059886127558_65;18147;54432;1;0.05766266050360539;0.01308675148875576;0.011;0.435502648311405;0.002856969754414899
rand_random_pop_100_18147_3_0.11_1736605988886878_66;18147;54430;1;0.05942823651634355;0.01293906086401262;0.0129;0.4993007131094135;0.0024260146393583013
rand_random_pop_100_18147_3_0.11_17366059901564975_67;18147;54426;1;0.05900216558039779;0.012476090003796396;0.0125;0.46158186791872496;0.0026358589487752424
rand_random_pop_100_18147_3_0.11_17366059904265878_68;18147;54430;1;0.05867104465078637;0.012811639952744107;0.0128;0.4526841161018661;0.0025318375402547575
