graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_eigenvector;avg_eigenvector
rand_random_pop_100_18147_3_0.11_17366012722658458_38;18147;54430;1;0.061469022026107475;0.013002587192840248;0.0124;0.46571441640112354;0.0027549174657585333
rand_random_pop_100_18147_3_0.11_17366012725361412_39;18147;54430;1;0.060070379080633285;0.011616706239694958;0.0107;0.524914697580748;0.0024545767387211563
rand_random_pop_100_18147_3_0.11_17366012728102427_40;18147;54427;1;0.059924901582450736;0.012049232636237145;0.0119;0.5671187610664413;0.0023714692047622212
rand_random_pop_100_18147_3_0.11_17366012736939194_41;18147;54429;1;0.061355816396930586;0.014047051765425951;0.0143;0.5254462598295592;0.002593937641611896
rand_random_pop_100_18147_3_0.11_17366012739595609_42;18147;54430;1;0.05964666821971812;0.01261814731652212;0.0116;0.4564892080446451;0.002591245944899789
rand_random_pop_100_18147_3_0.11_17366012742270834_43;18147;54431;1;0.05814109542552776;0.01176525466334268;0.0123;0.46892809746987735;0.002683600380213745
rand_random_pop_100_18147_3_0.11_1736601274495616_44;18147;54428;1;0.05928224891235122;0.012127351588491974;0.0104;0.6276270927539168;0.0022174185297028047
rand_random_pop_100_18147_3_0.11_17366012747641473_45;18147;54430;1;0.05974415604271244;0.012857519718304474;0.0139;0.3696474157388578;0.0028414578265397437
rand_random_pop_100_18147_3_0.11_17366012750312512_46;18147;54431;1;0.05995542155292645;0.013290633905832027;0.0154;0.4353558227307282;0.002630255680606569
rand_random_pop_100_18147_3_0.11_17366012752991295_47;18147;54432;1;0.05820074561078982;0.012493539179616816;0.0135;0.36951583773981567;0.0028552126340075333
rand_random_pop_100_18147_3_0.11_17366012755670042_48;18147;54431;1;0.06054466558565541;0.012785189057681135;0.0136;0.5827582312722143;0.0024370601670193194
rand_random_pop_100_18147_3_0.11_1736601275836843_49;18147;54429;1;0.06034146041204641;0.012026439407953187;0.0141;0.6526609523232884;0.0020804424500578188
rand_random_pop_100_18147_3_0.11_17366012761083_50;18147;54429;1;0.061120302515086745;0.011560930412407027;0.0121;0.4363506839342707;0.002787522287762145
rand_random_pop_100_18147_3_0.11_1736601276382285_51;18147;54430;1;0.05811623714041669;0.01225290914095177;0.0114;0.5003487349312953;0.002693821220483935
rand_random_pop_100_18147_3_0.11_1736601276649945_52;18147;54431;1;0.059619937277460934;0.012792130909784125;0.0116;0.3957925849859203;0.002771170817619918
rand_random_pop_100_18147_3_0.11_17366012777007296_53;18147;54431;1;0.06098662706820142;0.013201774087586677;0.0131;0.35664542443930825;0.002884244214639781
