graph;n_nodes;n_edges;connected_components;avg_clustering_coeff;global_clustering_coeff;approx_global_clustering_coeff;max_closeness;avg_closeness;max_eigenvector;avg_eigenvector
rand_random_house_100_3249_3_0.6_17365422838127856_73;3249;9732;1;0.332160636723859;0.057774873996639914;0.0576;0.4253535882661079;0.2621638004350643;0.6062496192849279;0.007900834554485517
rand_random_house_100_3249_3_0.6_1736542283898201_74;3249;9737;1;0.3420767334889035;0.05050322083979577;0.0508;0.43726440495422725;0.2674745140858634;0.5021032034906865;0.008632701319625437
rand_random_house_100_3249_3_0.6_173654228399307_75;3249;9737;1;0.33332661466446833;0.07080198079927569;0.0752;0.39427045399368776;0.25200909522192616;0.5039945497189742;0.008415134022027848
rand_random_house_100_3249_3_0.6_17365422840693312_76;3249;9735;1;0.3325623253561599;0.06925739442048905;0.0703;0.40392985947021515;0.25390786756131944;0.558835678475584;0.007857446947407323
rand_random_house_100_3249_3_0.6_17365422841467552_77;3249;9733;1;0.3326510760450735;0.06984978025088247;0.0659;0.39518189560773814;0.2539664147905461;0.46172228391586273;0.008651733026172656
rand_random_house_100_3249_3_0.6_17365422842262828_78;3249;9732;1;0.33482425610935757;0.06838983709305638;0.0669;0.43347123982383556;0.2536190845485371;0.6423303725473061;0.0070398013236773515
rand_random_house_100_3249_3_0.6_17365422843085864_79;3249;9732;1;0.33605741917343646;0.07425190822506923;0.0739;0.38703527168732127;0.25050758606198115;0.5721049252211121;0.007970450927579632
rand_random_house_100_3249_3_0.6_17365422843862062_80;3249;9734;1;0.333994165441393;0.057700189954032005;0.0597;0.4236337550541281;0.26058121376623283;0.47775745949063325;0.00840799526118239
rand_random_house_100_3249_3_0.6_17365422844698806_81;3249;9736;1;0.33009127548157896;0.0696955306358132;0.0704;0.38926174496644295;0.2544343707379258;0.47379440403211476;0.008889593404419624
rand_random_house_100_3249_3_0.6_17365422845475807_82;3249;9736;1;0.33760636919706216;0.06337743175664608;0.0647;0.40247831474597273;0.2583846607317873;0.4832356325526168;0.008799010996057647
rand_random_house_100_3249_3_0.6_1736542284629363_83;3249;9736;1;0.3373336036792677;0.06001547560329965;0.0571;0.41260162601626016;0.259990229606729;0.43688628687770414;0.008853213478682022
rand_random_house_100_3249_3_0.6_173654228471273_84;3249;9735;1;0.33594413371212817;0.06664183711473803;0.0645;0.400049267151127;0.25549108974260004;0.5507898653672554;0.00831473692772636
rand_random_house_100_3249_3_0.6_17365422847917461_85;3249;9735;1;0.3360649865368052;0.07009511526680638;0.0687;0.38652862073069144;0.253269943621287;0.3609819654151275;0.009338692834662245
rand_random_house_100_3249_3_0.6_17365422848710592_86;3249;9734;1;0.3312451633714703;0.07189956885620086;0.0674;0.3907133405509443;0.2520767144204095;0.46997436508813906;0.008952417622499742
rand_random_house_100_3249_3_0.6_1736542284947847_87;3249;9737;1;0.3342635082831151;0.06087788376220053;0.0588;0.4212164440409804;0.2594434592810872;0.5996813440581574;0.007801576703614767
rand_random_house_100_3249_3_0.6_17365422850314183_88;3249;9735;1;0.33467890606446715;0.06846181194255947;0.0674;0.4111912900367135;0.2544436137910995;0.5801948595999589;0.007765801155384528
rand_random_house_100_3249_3_0.6_17365422851119628_89;3249;9732;1;0.3324697400212035;0.06014188746567801;0.058;0.418448853388302;0.25999434135971594;0.4500479593143085;0.008468041066478763
