node;eigenvector;pagerank;closeness;degree;clustering_coeffs
71hQB5jxdNiHk5gzZRhicQ;1.9173400930070473e-11;3.5095332776226383e-05;0.08221527733913621;5.510856387082553e-05;0.0
7siPnM6FjNP8KnXO5YDwAH;4.829348676372948e-06;8.080115111694688e-05;0.12676962043999856;0.00027554281935412766;0.1
3N7PAaiIBEDfL6y6Rwso48;7.157913632245312e-07;2.3966120274803355e-05;0.11706980251279075;5.510856387082553e-05;0.0
2l35CQqtYRh3d8ZIiBep4v;0.0016545204176721447;2.3518667457565587e-05;0.1576165357280322;0.00011021712774165106;0.0
6TYimByryGphZCtwYopH0y;0.0005823167212650791;0.0001528316042321641;0.15312807474361856;0.0011021712774165107;0.09473684210526316
6kG0WKHsAOfWp5IsizmQxR;0.00013400755710073447;0.00012530569732011217;0.14293448073957463;0.0004959770748374297;0.0
0qZWRrQj38rwkxeRQ3HowZ;0.00018153767544641156;3.940511665321838e-05;0.14852064518131475;0.00027554281935412766;0.2
7EuXVmTcFfpvmFbi1CTctP;8.374420735179741e-08;2.4125187621870836e-05;0.10528342700371379;5.510856387082553e-05;0.0
1miuiUk8Xya3zRHZzqAYAW;1.8517415117522573e-06;7.014433356064121e-05;0.12100360648251547;0.0003306513832249532;0.13333333333333333
5tG5dl5mS2wB5w72YBpsyg;0.0005020281242245154;6.37461765260979e-05;0.15415022924210106;0.00022043425548330211;0.0
2PVg2kfkw7jNNVfy6ouB3H;1.6816098240292576e-05;1.954849342794501e-05;0.12220455571904652;0.00011021712774165106;1.0
1zO1FWFxxNUCqUuGATxZQZ;0.00271869206104725;8.739190739844202e-05;0.16518824856586428;0.0004959770748374297;0.05555555555555555
6meomXUCnPUYEWxITWNVZ0;0.0002332549167693138;5.7602174099620424e-05;0.1477890455296834;0.00022043425548330211;0.0
4h50ekU1ax70sX6deaIli9;3.2708713164640225e-06;5.857969830603277e-05;0.12534209892700365;0.0001653256916124766;0.3333333333333333
5M3ffmRiOX9Q8Y4jNeR5wu;4.856428059430279e-07;3.498672590107792e-05;0.11709936092907931;0.00011021712774165106;0.0
2zWCw43oRZ74LlMb14JWVR;1.3363938850602793e-05;2.781179001740752e-05;0.1278280114509415;0.00011021712774165106;0.0
4kwEd1P9j15ZqUVP5zK7Pv;0.013711426682009214;0.00021431017302227316;0.1857189534006346;0.0020390168632205444;0.07657657657657657
3jPN2U65cMPzvozEBue5zp;1.0493813632314151e-07;4.1024804401986934e-05;0.10911129602911004;0.00011021712774165106;1.0
